f_id,id,name,funded_at,amount,source
f:6727,360,Fund V,2010-12-07,100000000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=32&aid=DJFVW00020101207e6c700001&r=Rss&s=DJFVW
f:31,361,OATV II LP,2010-12-21,59250000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=32&aid=DJFVW00020101221e6cl0008d&r=Rss&s=DJFVW
f:6801,363,Longwood Founders Fund,2010-12-27,85000000.0,http://www.pehub.com/91602/longwood-founders-mgmt-closes-first-fund-with-85m/
f:1687,364,Health-Care Fund IV,2010-12-27,37000000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=32&aid=DJFVW00020101227e6cs000m9&r=Rss&s=DJFVW
f:530,365,Vickers Venture Fund III,2010-12-22,65000000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=32&aid=DJFVW00020101223e6cn000dx&r=Rss&s=DJFVW
f:45,367,Latest Fund,2011-09-15,200000000.0,http://pevc.dowjones.com/Article?an=DJFVW00020110914e79f001e2&ReturnUrl=http%3a%2f%2fpevc.dowjones.com%3a80%2fArticle%3fan%3dDJFVW00020110914e79f001e2
f:6815,371,Fourth fund of funds,2010-12-30,76500000.0,http://www.masshightech.com/stories/2010/12/27/daily37-Permal-raises-77M-for-secondary-VCPE-market.html
f:2688,374,PLSG Accelerator Fund,2011-01-07,5000000.0,http://www.finsmes.com/2011/01/pittsburgh-life-sciences-greenhouse.html
f:6835,375,Monomoy Capital Partners II,2011-01-07,400000000.0,http://www.finsmes.com/2011/01/monomoy-capital-partners-closes-400m.html
f:737,376,SoftTech VC II,2007-09-15,15000000.0,http://techcrunch.com/2007/09/18/techcrunch40-jeff-clavier-launches-12-million-venture-fund/
f:6842,377,Arctaris Income Fund,2011-01-10,19000000.0,http://www.masshightech.com/stories/2011/01/10/daily5-Arctaris-closes-18M-fund-eyes-225M-total.html
f:730,379,New fund,2010-12-24,100000000.0,http://www.mediamughals.com/News/1/4/Article/6655/Merus_Capital_to_raise_$100_million_fund.htm
f:663,380,Fund IX,2011-01-11,200000000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=29&aid=DJFVLS0020110111e71b00031&r=Rss&s=DJFVLS
f:6866,381,Alpine Heritage II fund,2011-01-12,29400000.0,http://www.finalternatives.com/node/15170?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed:+cleantechbrief/rss+(CleanTech+Brief)
f:6867,382,Braeside Capital II fund,2011-01-12,74000000.0,http://www.finalternatives.com/node/15171?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed:+cleantechbrief/rss+(CleanTech+Brief)
