c_id,f_id,date,round,amount
c:1348,f:548,2006-06-22,series-b,8000000
c:1348,f:461,2008-07-23,series-c+,5000000
c:1348,f:10,2008-07-23,series-c+,5000000
c:1348,f:36,2008-07-23,series-c+,5000000
c:1348,f:1218,2008-07-23,series-c+,5000000
c:1388,f:375,2006-08-01,series-a,5000000
c:1388,f:214,2006-08-01,series-a,5000000
c:1388,f:375,2007-09-01,series-b,5000000
c:1388,f:214,2007-09-01,series-b,5000000
c:1304,f:86,2005-01-01,series-a,7500000
c:1304,f:73,2005-01-01,series-a,7500000
c:1390,f:564,2007-09-01,series-b,50000000
c:1390,f:563,2007-09-01,series-b,50000000
c:1390,f:206,2007-09-01,series-b,50000000
c:1391,f:62,2007-11-01,series-a,50000000
c:1401,f:568,2007-08-01,series-a,2100000
c:1401,f:12581,2007-08-01,series-a,2100000
c:1448,f:224,2007-11-01,series-c+,25000000
c:1448,f:277,2007-11-01,series-c+,25000000
c:1448,f:578,2007-11-01,series-c+,25000000
c:1448,f:91,2007-11-01,series-c+,25000000
c:1448,f:277,2006-12-01,series-b,12000000
c:1448,f:578,2006-12-01,series-b,12000000
c:1448,f:91,2006-12-01,series-b,12000000
c:1448,f:578,2006-03-01,series-a,3000000
c:1483,f:593,2007-11-01,series-b,12700000
c:1483,f:17,2007-11-01,series-b,12700000
c:1483,f:147,2007-11-01,series-b,12700000
c:1483,f:191,2007-11-01,series-b,12700000
c:1043,f:189,2007-09-01,series-c+,8100000
c:1043,f:214,2007-09-01,series-c+,8100000
c:1043,f:28,2007-09-01,series-c+,8100000
c:1043,f:519,2007-09-01,series-c+,8100000
c:1433,f:605,2007-09-17,series-b,100000000
c:1433,f:84,2007-09-17,series-b,100000000
c:1433,f:316,2007-09-17,series-b,100000000
c:1433,f:606,2007-09-17,series-b,100000000
c:1433,f:18,2007-09-17,series-b,100000000
c:1433,f:316,2007-09-17,series-b,100000000
c:1433,f:6620,2007-09-17,series-b,100000000
c:1433,f:18,2005-09-01,series-a,17000000
c:1522,f:11,2007-10-01,series-b,12000000
c:1522,f:561,2007-10-01,series-b,12000000
c:1522,f:1262,2007-10-01,series-b,12000000
c:1523,f:447,2007-10-01,angel,500000
c:1523,f:74,2007-10-01,angel,500000
c:1528,f:649,2007-12-01,series-a,3000000
c:200,f:32,2007-11-01,series-a,6000000
c:1067,f:89,2007-07-01,series-a,2000000
c:1067,f:3181,2007-07-01,series-a,2000000
c:1053,f:173,2007-12-18,series-a,3000000
c:1657,f:664,2007-10-17,series-c+,48500000
c:1657,f:36,2007-10-17,series-c+,48500000
c:1657,f:316,2007-10-17,series-c+,48500000
c:1657,f:666,2007-10-17,series-c+,48500000
c:1657,f:667,2007-10-17,series-c+,48500000
c:1657,f:4399,2007-10-17,series-c+,48500000
c:1657,f:36,2006-09-01,series-c+,21000000
c:1660,f:672,2007-10-23,series-b,101000000
c:1660,f:563,2007-10-23,series-b,101000000
c:1660,f:316,2007-10-23,series-b,101000000
c:1660,f:671,2007-10-23,series-b,101000000
c:1660,f:1261,2007-10-23,series-b,101000000
c:1660,f:43,2007-10-23,series-b,101000000
c:1660,f:1185,2007-10-23,series-b,101000000
c:1660,f:1261,2007-10-23,series-b,101000000
c:1660,f:316,2005-06-01,series-a,8000000
c:1668,f:48,2005-05-01,series-b,20000000
c:1668,f:508,2005-05-01,series-b,20000000
c:1668,f:116,2005-05-01,series-b,20000000
c:1668,f:678,2005-05-01,series-b,20000000
c:1668,f:48,2006-06-01,series-c+,75000000
c:1668,f:589,2006-06-01,series-c+,75000000
c:1668,f:679,2006-06-01,series-c+,75000000
c:1668,f:680,2006-06-01,series-c+,75000000
c:1668,f:593,2006-06-01,series-c+,75000000
c:1668,f:508,2006-06-01,series-c+,75000000
c:1668,f:116,2006-06-01,series-c+,75000000
c:1668,f:681,2006-06-01,series-c+,75000000
c:1668,f:678,2006-06-01,series-c+,75000000
c:1668,f:4117,2006-06-01,series-c+,75000000
c:1853,f:5,2008-01-01,series-c+,27000000
c:1853,f:155,2008-01-01,series-c+,27000000
c:1853,f:65,2007-02-01,series-b,15000000
c:1853,f:775,2007-02-01,series-b,15000000
c:1853,f:10,2007-02-01,series-b,15000000
c:1853,f:562,2007-02-01,series-b,15000000
c:1756,f:134,2008-01-01,series-c+,20000000
c:1756,f:316,2008-01-01,series-c+,20000000
c:1756,f:26,2008-01-01,series-c+,20000000
c:1756,f:4689,2008-01-01,series-c+,20000000
c:1598,f:658,2008-01-01,series-b,3000000
c:67,f:122,2007-10-01,series-a,0
c:67,f:446,2007-10-01,series-a,0
c:1809,f:1154,2007-01-01,other,60000000
c:1856,f:272,2008-01-01,series-b,20000000
c:1856,f:6,2008-01-01,series-b,20000000
c:1853,f:65,2006-03-01,series-a,15000000
c:1853,f:775,2006-03-01,series-a,15000000
c:1853,f:776,2006-03-01,series-a,15000000
c:1853,f:10,2006-03-01,series-a,15000000
c:1856,f:778,2007-03-01,series-a,5700000
c:1856,f:6,2007-03-01,series-a,5700000
c:1080,f:272,2008-01-01,series-b,29500000
c:1080,f:75,2008-01-01,series-b,29500000
c:1080,f:74,2008-01-01,series-b,29500000
c:1661,f:4,2008-01-01,series-c+,27000000
c:1661,f:45,2008-01-01,series-c+,27000000
c:1661,f:855,2008-01-01,series-c+,27000000
c:1661,f:2854,2008-01-01,series-c+,27000000
c:1960,f:806,2007-02-11,series-a,5000000
c:1960,f:1287,2007-02-11,series-a,5000000
c:2041,f:810,2008-02-11,angel,320000
c:2041,f:608,2008-02-11,angel,320000
c:2041,f:811,2008-02-11,angel,320000
c:2235,f:1078,2007-01-15,series-a,3700000
c:1038,f:61,2008-01-28,series-b,15000000
c:1038,f:834,2008-01-28,series-b,15000000
c:1038,f:120,2008-01-28,series-b,15000000
c:1038,f:802,2008-01-28,series-b,15000000
c:1038,f:835,2008-01-28,series-b,15000000
c:2096,f:840,2008-02-01,series-b,7800000
c:2096,f:841,2008-02-01,series-b,7800000
c:2503,f:48,2012-10-30,series-c+,23000000
c:2503,f:18,2012-10-30,series-c+,23000000
c:2503,f:316,2012-10-30,series-c+,23000000
c:2503,f:262,2012-10-30,series-c+,23000000
c:266,f:4,2008-02-05,series-c+,19000000
c:266,f:116,2008-02-05,series-c+,19000000
c:266,f:174,2008-02-05,series-c+,19000000
c:266,f:844,2008-02-05,series-c+,19000000
c:2551,f:34,2008-01-24,series-c+,15000000
c:1923,f:7,2008-02-07,angel,900000
c:1923,f:854,2008-02-07,angel,900000
c:1923,f:1461,2008-02-07,angel,900000
c:2617,f:26,2006-03-08,series-b,13500000
c:2617,f:112,2006-03-08,series-b,13500000
c:2617,f:147,2006-03-08,series-b,13500000
c:2638,f:857,2007-01-01,angel,1000000
c:2638,f:773,2008-02-25,series-a,5000000
c:2638,f:94,2008-02-25,series-a,5000000
c:2638,f:857,2008-02-25,series-a,5000000
c:113,f:262,2008-02-26,series-c+,15000000
c:2507,f:3181,2005-01-01,series-a,0
c:2507,f:1497,2005-01-01,series-a,0
c:38,f:519,2008-03-10,series-b,6100000
c:1199,f:61,2008-03-09,series-b,9500000
c:1199,f:29,2008-03-09,series-b,9500000
c:1199,f:48,2008-03-09,series-b,9500000
c:3001,f:408,2004-01-01,angel,1000000
c:3001,f:179,2005-02-23,series-a,6500000
c:3001,f:894,2005-02-23,series-a,6500000
c:3001,f:179,2008-03-10,series-b,18000000
c:3001,f:1770,2008-03-10,series-b,18000000
c:3001,f:895,2008-03-10,series-b,18000000
c:3103,f:134,2008-02-27,series-a,7000000
c:3103,f:691,2008-02-27,series-a,7000000
c:1523,f:74,2008-03-01,series-a,3000000
c:1523,f:447,2008-03-01,series-a,3000000
c:1523,f:737,2008-03-01,series-a,3000000
c:1523,f:446,2008-03-01,series-a,3000000
c:1523,f:3429,2008-03-01,series-a,3000000
c:3126,f:48,2008-03-13,series-a,6500000
c:3147,f:472,2007-01-01,series-a,6000000
c:3147,f:902,2007-01-01,series-a,6000000
c:3147,f:903,2007-01-01,series-a,6000000
c:3147,f:904,2007-01-01,series-a,6000000
c:3147,f:905,2007-01-01,series-a,6000000
c:3147,f:26,2008-03-13,series-b,15000000
c:3415,f:1272,2008-03-01,angel,0
c:3563,f:932,2008-01-01,series-a,8500000
c:3563,f:105,2008-01-01,series-a,8500000
c:3591,f:1,2008-03-24,series-b,10000000
c:3591,f:562,2008-03-24,series-b,10000000
c:3591,f:711,2008-03-24,series-b,10000000
c:3591,f:934,2008-03-24,series-b,10000000
c:3623,f:937,2008-03-25,series-c+,17500000
c:5,f:2101,2007-11-30,series-c+,60000000
c:3670,f:48,2008-03-27,series-a,3000000
c:172,f:494,2008-04-01,series-a,5000000
c:172,f:955,2008-04-01,series-a,5000000
c:172,f:9018,2008-04-01,series-a,5000000
c:3860,f:41,2008-04-02,series-b,15500000
c:3860,f:367,2008-04-02,series-b,15500000
c:3860,f:7,2008-04-02,series-b,15500000
c:517,f:45,2008-04-07,series-a,6500000
c:517,f:34,2008-04-07,series-a,6500000
c:517,f:966,2008-04-07,series-a,6500000
c:4209,f:137,2008-04-10,venture,35000000
c:319,f:89,2008-04-14,series-b,6000000
c:4394,f:382,2006-02-01,series-a,2600000
c:4394,f:382,2008-04-15,series-b,6600000
c:4394,f:1009,2008-04-15,series-b,6600000
c:4394,f:912,2008-04-15,series-b,6600000
