acquired_id,acquiring_id,price_amount
c:100,c:377,0.0
c:1001,c:5,47500000.0
c:10054,c:23283,0.0
c:1007,c:851,15000000.0
c:10117,c:31,0.0
c:10137,c:757,0.0
c:101436,c:189412,0.0
c:10158,c:351,36500000.0
c:10176,c:1242,1200000000.0
c:10202,c:200647,155000.0
c:10223,c:10224,0.0
c:10241,c:4942,3000000000.0
c:102572,c:102577,8500000.0
c:102573,c:102577,4000000.0
c:102575,c:102577,1100000.0
c:10356,c:7198,154000000.0
c:104193,c:104194,0.0
c:104196,c:104198,65000000.0
c:10421,c:3320,28000000.0
c:10452,c:1799,0.0
c:10454,c:10455,0.0
c:10455,c:11503,200000000.0
c:10477,c:5638,0.0
c:10479,c:5638,550000.0
c:105244,c:71188,0.0
c:1059,c:24,20000000.0
c:106,c:4687,169000000.0
c:10617,c:10614,13000000.0
c:10731,c:355,2700000000.0
c:10771,c:351,320000000.0
c:1078,c:29610,930000000.0
c:10814,c:10816,12600.0
c:10864,c:28712,40000000.0
c:11216,c:28,100000000.0
c:11224,c:5054,0.0
c:11313,c:351,1100000000.0
c:114,c:59,12000000.0
c:11694,c:29,92000000.0
c:11698,c:29,0.0
c:1170,c:350,0.0
c:11700,c:29,2870000000.0
c:11701,c:29,432000000.0
c:11716,c:1735,225000000.0
c:11716,c:29,436000000.0
c:11722,c:29,5040000000.0
c:11725,c:29,10000000.0
c:117415,c:590,15000000.0
c:11836,c:11837,0.0
c:11932,c:20,380000000.0
c:1194,c:1504,9500000.0
c:11948,c:20,150000000.0
c:12012,c:25657,25000000.0
c:12052,c:317,775000000.0
c:12087,c:2823,72500000.0
c:12118,c:214095,250000000.0
c:1216,c:1504,0.0
c:12190,c:16077,30000000.0
c:12197,c:54243,2700000.0
c:1224,c:13228,15500000.0
c:12285,c:14236,140000000.0
c:1229,c:25732,0.0
c:12350,c:10085,307000000.0
c:1238,c:29,1000000.0
c:12404,c:10119,649000000.0
c:12420,c:12421,6200000.0
c:12421,c:12255,294000000.0
c:12459,c:1242,0.0
c:12519,c:5548,458000000.0
c:12539,c:14904,650000000.0
c:1254,c:12906,30000000.0
c:126,c:1645,180000000.0
c:12613,c:424,95000000.0
c:12625,c:840,352000000.0
c:12640,c:12641,0.0
c:12662,c:5622,1430000.0
c:12664,c:475,10000000.0
c:126832,c:44148,0.0
c:126834,c:44148,0.0
c:126835,c:44148,0.0
c:126838,c:44148,0.0
c:126839,c:44148,0.0
c:126840,c:44148,0.0
c:12691,c:1242,96000000.0
c:1278,c:351,0.0
c:1283,c:1316,60000000.0
c:1285,c:3063,150000000.0
c:12898,c:4460,0.0
c:13011,c:351,80000000.0
c:13012,c:351,525000000.0
c:13020,c:351,407000000.0
c:13020,c:2534,187500000.0
c:13108,c:12451,25000000.0
c:132,c:24,280000000.0
c:13204,c:283,120000000.0
c:132313,c:760,94000000.0
c:13269,c:18200,9300000000.0
c:13289,c:590,944000000.0
c:13291,c:20,0.0
c:13323,c:13324,0.0
c:1336,c:283,1800000000.0
c:1340,c:2506,775000000.0
c:13402,c:4304,6500000000.0
c:13470,c:4987,0.0
c:13533,c:6757,0.0
c:13591,c:608,200000.0
c:1365,c:38689,500000000.0
c:137308,c:3407,0.0
c:13777,c:71,25000000.0
c:13781,c:5182,35000000.0
c:138072,c:146029,150000000.0
c:1384,c:1385,10000000.0
c:13864,c:29558,120000000.0
c:13874,c:26482,88000000.0
c:13885,c:3320,0.0
c:139031,c:14008,206000000.0
c:139165,c:14046,0.0
c:13918,c:475,836000.0
c:139237,c:4018,36000000.0
c:139415,c:247805,0.0
c:139556,c:44148,0.0
c:139649,c:139650,0.0
c:139659,c:60177,0.0
c:139661,c:60177,0.0
c:139713,c:37662,453000000.0
c:140137,c:66228,70000.0
c:140160,c:31710,164000000.0
c:14036,c:34407,165000000.0
c:140823,c:42080,5200000.0
c:14098,c:62198,2200000000.0
c:141194,c:141195,0.0
c:141275,c:138299,15000.0
c:141398,c:141397,43000000.0
c:14147,c:271159,0.0
c:141649,c:1180,0.0
c:141651,c:1180,0.0
c:141652,c:1180,0.0
c:141919,c:44898,72500000.0
c:141920,c:40908,285000000.0
c:142,c:351,850000000.0
c:142004,c:29,10000000.0
c:142016,c:29787,17500000.0
c:142180,c:73487,0.0
c:14236,c:71,7680000000.0
c:142860,c:142861,0.0
c:14287,c:23125,0.0
c:143253,c:143255,0.0
c:1444,c:24,1800000000.0
c:144558,c:58837,47000000.0
c:14456,c:60151,225000000.0
c:144972,c:144973,1400.0
c:145,c:29,0.0
c:1450,c:187,2000000.0
c:145184,c:66554,70000000.0
c:14524,c:23054,19000000.0
c:14532,c:14533,220000.0
c:145631,c:58837,8800000.0
c:145632,c:58837,150000000.0
c:145677,c:38751,20000000.0
c:145875,c:145786,0.0
