id,name,normalized_name,founded_at
f:10185,"Lesmoir-Gordon, Boyle & Co.",lesmoir gordon boyle,2005-01-01
f:10186,Vela Imprese,vela imprese,1988-01-01
f:10187,Andena Holding,andena holding,
f:10188,Bincot,bincot,
f:10189,for; to (do) Ventures,for to do ventures,2012-12-02
f:1019,Serenda Estonia,serenda estonia,
f:10190,Kriya Connect,kriya connect,
f:10191,see LinkedIn Profile,see linkedin profile,
f:10193,Amigo Loans,amigo loans,2005-01-01
f:10195,Vilicus Ventures,vilicus ventures,2012-01-23
f:10196,Prolific Venture Capital,prolific venture,
f:10197,Pangea's Edge Holdings,pangeas edge holdings,
f:10198,Red Dot Ventures,red dot ventures,2011-01-01
f:10199,Hudson Sloane,hudson sloane,1988-01-01
f:102,Catamount Ventures,catamount ventures,2000-01-01
f:1020,Vencore Capital,vencore,
f:10200,Infema,infema,
f:10201,Health Insight Capital,health insight,
f:10203,Ares Capital Corporation,ares capital,2004-01-01
f:10204,I'm VC,im vc,
f:10205,Fideilty,fideilty,
f:10207,Legal & General,legal general,
f:10208,Cazenove,cazenove,
f:10209,Digital News Ventures,digital news ventures,
f:1021,New England Development,new england development,1978-01-01
f:10210,UAE equity consortium,uae equity consortium,
f:10212,Roll Investments,roll investments,
f:10215,Travellooga,travellooga,
f:10216,Beyond Digital,beyond digital,2012-01-01
f:10218,Hedgebrook,hedgebrook,2004-01-01
f:10219,Angel Baez Camacho,angel baez camacho,
f:1022,Breakaway Ventures,breakaway ventures,2006-01-01
f:10220,Angel Camacho,angel camacho,
f:10221,QuestVC,questvc,2011-01-01
f:10222,TMI Holding Corp.,tmi holding,2012-02-01
f:10223,First American Tax Defense,first american tax defense,2012-01-01
f:10224,Narrow River Management,narrow river management,
f:10225,"CSU, Chico",csu chico,
f:10228,Middleland Capital,middleland,
f:10229,Wonky Ventures,wonky ventures,
f:1023,Mugar Enterprises,mugar enterprises,1905-01-01
f:10230,Trans-it Capital,trans it,2006-02-15
f:10231,Startup Minds,startup minds,2012-01-01
f:10233,Nanabianca,nanabianca,2011-01-01
f:10234,Georgetown Angels,georgetown angels,2012-10-01
f:10235,ASAP Handyman,asap handyman,
f:10236,Formula VC,formula vc,
f:10237,stopoverresorts,stopoverresorts,2012-10-19
f:10238,Innopolis,innopolis,2012-06-09
f:1024,Fisher Investments,fisher investments,1979-01-01
f:10240,Sparkbox Ventures,sparkbox ventures,2001-01-01
f:10241,Savitr Capital,savitr,
f:10243,Medina Capital,medina,2010-01-01
f:10247,TNF Ventures,tnf ventures,
f:10249,TDVF Investments,tdvf investments,
f:1025,Magnolia Capital,magnolia,2004-01-01
f:10250,LMG-industri,lmg industri,
f:10251,Colleen Pollock,colleen pollock,
f:10252,Heather Jackson,heather jackson,
f:10253,Allison Ferguson,allison ferguson,
f:10254,Shannon Archer,shannon archer,
f:10255,Kayla Shorter,kayla shorter,
f:10256,Charlie Pollock,charlie pollock,
f:10257,Monash Private Capital,monash private,2011-07-01
f:10258,OurCrowd,ourcrowd,2012-10-01
f:10259,Bedrocket Media Ventures,bedrocket media ventures,2010-01-01
f:1026,Prime Capital,prime,1986-01-01
f:10260,iVentureCapital,iventurecapital,2011-01-01
f:10261,Delta-V Capital,delta v,2009-01-01
f:10262,Queensland Investment Corporation,queensland investment,
f:10263,NY venture fund,ny venture,
f:10264,Practica Capital,practica,2011-01-01
f:10265,The Social Internet Fund,the social internet,2012-07-01
f:10266,Downey Ventures,downey ventures,
f:10269,"In the new collection beautiful canvas prints allocated and we can choose the most romantic design for bedroom walls, there is a special piece of artwork described as Love Island canvas prints for improved house decoration and the color combination of the",in the new collection beautiful canvas prints allocated and we can choose the most romantic design for bedroom walls there is a special piece of artwork described as love island canvas prints for improved house decoration and the color combination of th,
f:10270,KBC Peel Hunt,kbc peel hunt,
f:10271,Stephane Touboul LLC,stephane touboul,
f:10272,Crown Capital Partners,crownpartners,2000-01-01
f:10273,VoiVoda Ventures,voivoda ventures,2009-01-01
f:10274,http://galaxyphotoz.com,http galaxyphotoz,2008-01-01
f:10275,http://www.leanneferguson.ca/,http www leanneferguson ca,
f:10276,Saban Capital Group,sabangroup,2001-01-01
f:10277,Ely Sakhai Art&Design,ely sakhai art design,
f:10278,Braincapital,braincapital,2011-01-01
f:10279,VERT Investment Group,vert investment group,2008-11-12
f:1028,Qualcomm Ventures,qualcomm ventures,
f:10286,Northwest Georgia Bank,northwest georgia bank,1904-01-01
f:10287,Rothschild R Capital,rothschild r,
f:10289,Tony Stinsa,tony stinsa,
f:10296,AGIRE,agire,2007-01-01
f:10299,Topping Capital,topping,
f:1030,W Media Ventures,w media ventures,
f:10301,Colt Ventures,colt ventures,1995-01-01
f:10303,CalCon Mutual,calcon mutual,2008-03-01
f:10304,TriVentures,triventures,
f:10305,XT Investments,xt investments,
f:10306,Brightstone Venture Capital,brightstone venture,1985-09-01
f:10307,Launchgarage,launchgarage,2012-10-15
f:10308,Berman Venture Capital,berman venture,
f:10309,AshHill Pharmaceutical Investments,ashhill pharmaceutical investments,
f:1031,Tudor Growth Equity,tudor growth equity,1994-01-01
f:10310,Positive Stocks,positive stocks,
f:10311,eStockz,estockz,
f:10313,Irving Place Capital,irving place,1997-01-01
f:10314,"Aviall India, The Boeing Company",aviall india the boeing company,
f:10316,"Client Security Fund, Nevada State Bar",client securitynevada state bar,1928-01-01
f:10317,American Association for Justice,american association for justice,1946-08-16
f:10318,American Bar Association,american bar association,
f:10319,National Association of Criminal Defense Lawyers,national association of criminal defense lawyers,1958-01-01
f:1032,Time Warner Investments,time warner investments,
f:10320,SlickText.com,slicktext,
f:10321,CyclingUnderground.com,cyclingunderground,
f:10325,W7 Brazil Capital,w7 brazil,2012-01-01
f:10327,iAdam Ventures,iadam ventures,
f:1033,Helion Venture Partners,helion venture,
f:10330,WIT Accelerate Program,wit accelerate program,
f:10331,Ti23,ti23,2012-10-01
f:10332,NDI Healthcare Fund,ndi healthcare,
f:10333,Public Square Partners,public square,
f:10334,Gemini Investors,gemini investors,1993-01-01
f:10336,Incubate Fund,incubate,1999-01-01
f:10337,Energy Foundry,energy foundry,2012-01-01
f:10339,Start Garden,start garden,2012-04-26
f:1034,Tribeca Venture Partners,tribeca venture,
f:10340,CT Investment Partners,ct investment,2002-01-01
f:10341,Launchpad LA,launchpad la,2008-01-01
f:10343,The Untitled Venture Company,the untitled venture company,2011-01-01
f:10345,"UBS Financial Services, Inc.",ubs financial services,
f:10346,Frost Venture Partners,frost venture,2003-01-01
f:10347,PaydayPig,paydaypig,2010-06-10
f:10348,Bear Creek Capital,bear creek,2005-01-01
f:10349,Social Sector Ventures,social sector ventures,
f:1035,i5invest,i5invest,
f:10351,GI Partners,gi,2001-01-01
f:10352,WebPicID,webpicid,2008-01-01
f:10353,Extend Capital,extend,
f:10354,Tchoupitoulas Partners,tchoupitoulas,
f:10355,Berlin Ventures,berlin ventures,
f:10356,Paydaygap,paydaygap,
f:10357,Link business,link business,2004-03-19
f:10358,Huron Capital,huron,1999-01-01
f:1036,Kuv Capital,kuv,2007-05-14
f:10360,Denali Venture Partners,denali venture,1999-08-01
f:10364,DP Invest,dp invest,
f:10365,The Frankel Fund,the frankel,
f:10366,The Amherst Fund,the amherst,1998-01-01
f:10367,ORIX Private Equity,orix private equity,
f:10368,Alpha Investments,alpha investments,2003-01-01
f:10369,Spell Capital Partners,spellpartners,1988-01-01
f:1037,Quest Venture Partners,quest venture,2008-01-01
f:10370,Vigene Capital,vigene,2012-01-01
f:10371,impact investment fund,impact investment,
f:10372,Eastern Sun Capital Partners,eastern sunpartners,
f:10373,Bronze Investments,bronze investments,
f:10374,AGF Investments,agf investments,1957-01-01
f:10375,RSE Ventures,rse ventures,
f:10376,Casabona Ventures,casabona ventures,2007-01-01
f:10377,SBD Global Fund,sbd global,
f:1038,Startup Factory,startup factory,
f:10380,Modern Holdings,modern holdings,1994-01-01
f:10382,Action Group Holdings,action group holdings,1998-01-01
f:10384,Asia Wealth Group Hodings,asia wealth group hodings,
f:10385,Meyer International Ltd,meyer international,
f:10386,Iconiq Capital,iconiq,
f:10388,Laurel Crown Partners,laurel crown,
f:10389,Frühphasenfonds Brandenburg,frühphasenfonds brandenburg,
f:1039,Shepherd Ventures,shepherd ventures,2001-01-01
f:10390,WestTech Ventures,westtech ventures,2012-01-01
f:10392,Previz Ventures,previz ventures,
f:10393,Columbia Technology Ventures,columbia technology ventures,2009-07-14
f:10394,Aleutian Capital Partners,aleutianpartners,2003-01-01
f:10397,WeldNorth,weldnorth,2010-01-01
f:10398,The Startup Factory,the startup factory,
f:1040,Access Industries,access industries,1986-01-01
f:10400,Providence Economic Development Partnership,providence economic development partnership,
f:10401,Straightline Ventures,straightline ventures,
f:10402,Stonebridge Ventures,stonebridge ventures,2008-01-01
f:10403,KTB Network,ktb network,1980-01-01
f:10405,Vitulum Ventures,vitulum ventures,
f:10406,Inland TechStart Fund,inland techstart,2009-01-01
f:10407,Spokane Angel Alliance,spokane angel alliance,
f:10409,"Mayfly Capital, LLC",mayflyllc,2009-01-01
f:10410,Random House Ventures,random house ventures,
f:10411,Kaizen Private Equity,kaizen private equity,
f:10414,Indufin,indufin,
f:10416,Rockpool Investments LLP,rockpool investments llp,2011-01-01
f:10417,NZFH Enterprises,nzfh enterprises,
f:10418,PTV Television Network,ptv television network,
f:10419,Stone Point Capital,stone point,2001-01-01
f:1042,Hillcrest Management,hillcrest management,
f:10420,Bootstart,bootstart,
f:10421,Chrysalis,chrysalis,
f:10422,indiatourcity,indiatourcity,
f:10423,Reliant Bank,reliant bank,
f:10424,UDD Ventures,udd ventures,2013-04-30
f:10425,Wynnchurch Capital,wynnchurch,1999-01-01
f:10426,Larsen MacColl Partners,larsen maccoll,
f:10427,Blue Water Angels,blue water angels,2008-01-01
f:10428,Northern Michigan Angels,northern michigan angels,
f:10429,TRI Capital,tri,
f:1043,Curious Office Partners,curious office,
f:10430,Prairie Capital,prairie,1997-01-01
f:10432,Napkn Ventures,napkn ventures,
f:10433,Incuba UC,incuba uc,2002-01-01
f:10434,Innpulsa Colombia,innpulsa colombia,2012-02-10
f:10437,Lightspeed China Partners,lightspeed china,
f:10438,Nausicaa Ventures,nausicaa ventures,2009-01-01
f:10439,BAMS Angels Fund I,bams angelsi,
f:1044,Emerald Technology Ventures,emerald technology ventures,2000-01-01
f:10440,Life Sciences Research Partners,life sciences research,1988-01-01
f:10442,Brentwood Associates,brentwood associates,1972-01-01
f:10443,WestVenture,westventure,1980-01-05
f:10444,no financial orgs,no financial orgs,
f:10446,PhatNguyen Ventures,phatnguyen ventures,
f:10449,Genwealth Venture Partners,genwealth venture,2011-01-01
f:1045,NGP,ngp,1972-01-01
f:10453,Creative England,creative england,2011-10-01
f:10454,Phat Nguyen Ventures.,phat nguyen ventures,
f:10456,Samuel Services,samuel services,
f:10457,ABNAMRO,abnamro,
f:10458,SevenVentures,sevenventures,2011-01-01
f:10459,Amplify Partners,amplify,2012-01-01
f:10460,MemorialCare Innovation Fund,memorialcare innovation,
f:10463,YoungBrains,youngbrains,2009-01-01
f:10464,SAIL Venture Partners,sail venture,
f:10467,Gates/FA Distrib. sub. of Arrow,gates fa distrib sub of arrow,
f:10468,Mentored CEOs of Start-ups,mentored ceos of start ups,
f:10469,Startup Loans UK,startup loans uk,2012-05-28
f:1047,Worldview Technology Partners,worldview technology,
f:10471,Religare Enterprises,religare enterprises,1984-01-01
f:10472,Alstein Pte,alstein pte,
f:10473,Aladinn Ventures,aladinn ventures,
f:10474,"Mindspan, LLC",mindspan,2010-01-01
f:10478,Steelhouse Ventures,steelhouse ventures,
f:10479,McColl Partners,mccoll,
f:1048,Pacific Rim Partners,pacific rim,2002-01-01
f:10480,Aristos Ventures,aristos ventures,2011-01-01
f:10481,Minden,minden,
f:10483,Developaweb,developaweb,2002-01-01
f:10484,Intertrust,intertrust,1990-01-01
f:10485,Financial Organizations,financial organizations,
f:10486,Financial Organizations1,financial organizations1,
f:10487,Toba Capital,toba,
f:10489,Dragoneer Investment Group,dragoneer investment group,
f:10490,Passport Ventures,passport ventures,
f:10491,Nextcube,nextcube,
f:10492,Arctic Fox Venture,arctic fox venture,
f:10493,Defense Advanced Research Projects Agency,defense advanced research projects agency,1958-02-07
