invested_id,investor_id,date,round,amount
c:39395,c:16041,1999-12-10,series-b,12000000
c:924,c:10119,2010-01-13,series-c+,22000000
c:25392,c:30504,2009-10-08,venture,22000000
c:20889,c:362,2010-01-11,series-a,1980000
c:9321,c:15306,2009-10-12,venture,7600000
c:40812,c:40814,2010-03-08,series-c+,25000000
c:40812,c:17124,2010-03-08,series-c+,25000000
c:41343,c:41345,2009-11-03,series-a,0
c:41368,c:3824,2010-02-04,series-c+,30000000
c:38916,c:58740,2007-12-11,series-c+,44380000
c:41677,c:7389,2007-02-08,series-a,25000000
c:42301,c:5687,2007-01-22,series-b,0
c:18875,c:17633,2007-07-05,series-c+,12000000
c:18875,c:28,2007-07-05,series-c+,12000000
c:12315,c:8750,2010-02-22,venture,14100000
c:21144,c:28,2010-02-24,series-b,10500000
c:7998,c:20953,2010-02-18,other,1500000
c:41336,c:15280,2010-03-03,series-b,3300000
c:23382,c:14963,2010-03-10,series-b,7500000
c:23382,c:29983,2010-03-10,series-b,7500000
c:20953,c:250,2010-03-11,series-b,20000000
c:8583,c:1230,2010-03-11,series-b,25000000
c:43680,c:23339,2007-10-26,series-b,30000000
c:43696,c:34590,2007-02-27,series-c+,25500000
c:37350,c:43903,2007-08-03,series-c+,8800000
c:615,c:43946,2007-09-18,series-a,6100000
c:615,c:43947,2007-09-18,series-a,6100000
c:21762,c:2520,2010-02-01,angel,0
c:36444,c:8608,2010-03-17,venture,7000000
c:30814,c:53237,2010-04-01,series-a,4430000
c:25392,c:45305,2007-02-15,series-c+,26000000
c:25392,c:18117,2007-02-15,series-c+,26000000
c:18161,c:28,2006-05-22,series-c+,11000000
c:35496,c:45856,2010-04-15,series-a,3400000
c:24648,c:5866,2010-04-15,series-b,5000000
c:45605,c:1972,2010-04-15,series-b,8000000
c:12171,c:28,2006-05-17,series-c+,6300000
c:1325,c:28,2010-04-19,series-c+,20000000
c:1325,c:67716,2010-04-19,series-c+,20000000
c:29051,c:362,2010-04-20,series-a,5000000
c:22413,c:15246,2010-04-15,venture,16799998
c:46338,c:46339,2006-03-31,series-a,14000000
c:46621,c:46620,2006-04-25,series-c+,2000000
c:11118,c:991,2010-04-28,series-a,1600000
c:8583,c:1230,2010-04-29,series-c+,14000000
c:4235,c:6470,2010-04-28,series-b,7000000
c:47690,c:26971,2006-03-15,series-c+,22000000
c:25510,c:15306,2006-07-06,series-c+,20000000
c:37713,c:47789,2006-01-24,series-c+,20000000
c:37713,c:47790,2006-01-24,series-c+,20000000
c:33426,c:2659,2009-05-27,venture,15000000
c:25511,c:12390,2006-10-26,series-c+,12000000
c:48436,c:28,2006-06-20,series-a,10900000
c:48523,c:48524,2006-11-07,series-c+,15000000
c:48022,c:20953,2010-05-24,series-a,800000
c:48619,c:38038,2010-05-27,series-c+,24000000
c:22847,c:16280,2006-09-12,venture,7000000
c:27856,c:29326,2011-02-28,series-b,8000000
c:25464,c:28,2006-03-08,series-c+,3000000
c:7643,c:20953,2010-06-07,angel,1100000
c:1209,c:28,2010-06-09,series-c+,4500000
c:29609,c:33472,2010-07-14,series-c+,109000000
c:50075,c:37093,2010-06-18,series-b,12000000
c:50487,c:1080,2010-06-28,angel,1000000
c:50487,c:231067,2010-06-28,angel,1000000
c:50487,c:2520,2010-06-28,angel,1000000
c:27559,c:28,2010-06-29,series-c+,13600000
c:27109,c:28,2005-05-13,series-c+,10000000
c:36788,c:23339,2005-11-10,venture,26600000
c:51087,c:40359,2010-06-16,venture,5160000
c:32738,c:64606,2010-09-09,series-b,28000000
c:51350,c:25082,2010-06-16,series-a,15000000
c:51360,c:42013,2010-04-08,series-b,41300000
c:51897,c:20953,2010-07-15,angel,500000
c:40324,c:54926,2010-03-01,series-b,22000000
c:52213,c:52212,2010-03-29,venture,11500000
c:52463,c:23339,2010-03-17,venture,1500000
c:46586,c:2520,2010-08-02,angel,1000000
c:15453,c:53360,2005-07-28,venture,66000000
c:14001,c:27691,2006-02-01,series-a,21000000
c:14001,c:28,2006-02-01,series-a,21000000
c:36871,c:4304,2005-03-01,venture,18000000
c:48371,c:28,2005-06-08,series-c+,12000000
c:53693,c:8661,2005-05-05,series-c+,12000000
c:54058,c:23339,2010-08-10,series-c+,32000000
c:55088,c:28,2010-08-25,series-c+,10000000
c:55405,c:32735,2005-05-02,venture,5140000
c:43680,c:23339,2005-12-06,series-a,3500000
c:43954,c:5182,2010-09-02,series-b,6000000
c:5276,c:29456,2010-09-07,series-b,5000000
c:21814,c:56161,2010-09-08,series-c+,15000000
c:56447,c:34590,2010-09-10,series-a,18000000
c:26305,c:56737,2010-09-13,venture,6600000
c:52126,c:24097,2010-09-17,series-a,6000000
c:30343,c:7913,2010-09-14,venture,1100000
c:36799,c:57168,2010-09-21,series-b,13000000
c:57429,c:26555,2010-09-24,series-c+,12000000
c:20559,c:5622,2010-09-27,series-b,4300000
c:57879,c:57878,2010-09-29,series-a,4750000
c:22991,c:28,2005-02-04,series-c+,19480000
c:9145,c:1242,2010-10-05,series-c+,50000000
c:7998,c:20953,2010-10-08,series-b,10000000
c:58731,c:28,2010-10-12,venture,16000000
c:59024,c:36547,2005-07-14,series-a,4500000
c:24923,c:59403,2010-10-19,series-b,20000000
c:15013,c:20,2010-10-26,series-b,9000000
c:949,c:28,2010-10-27,series-c+,10000000
c:59859,c:3166,2010-10-28,angel,1100000
c:10272,c:18311,2010-07-20,venture,35500000
c:37805,c:9521,2010-08-18,venture,8547546
c:37805,c:42408,2010-08-18,venture,8547546
c:55987,c:60510,2010-09-24,venture,14900000
c:1038,c:396,2010-11-01,venture,18000000
c:55654,c:33654,2010-10-28,venture,31018585
c:61142,c:8001,2010-11-05,series-c+,60000000
c:25210,c:23339,2010-11-17,series-c+,36500000
c:53453,c:83551,2010-11-18,series-a,2000000
c:62188,c:16734,2010-07-15,venture,20000000
c:44690,c:49174,2010-11-24,angel,1250000
c:55943,c:28,2010-07-01,angel,250000
c:39799,c:59,2010-11-30,venture,410000000
c:58545,c:3013,2010-11-29,angel,500000
c:8583,c:317,2010-12-02,series-c+,183000000
c:40425,c:63278,2010-12-06,series-b,6000000
c:972,c:1972,2010-12-08,venture,27000000
c:13245,c:317,2010-12-08,series-b,9000000
c:13245,c:9891,2010-12-08,series-b,9000000
c:169876,c:7956,2010-12-13,series-a,1750000
c:64088,c:15306,2013-10-09,series-a,4902818
c:701,c:20953,2011-01-06,series-b,10100000
c:25527,c:1230,2011-01-07,series-a,7600000
c:22784,c:17066,2011-01-10,series-b,27500000
c:40812,c:28,2011-01-17,series-c+,45000000
c:66633,c:23339,2011-01-11,series-a,4400000
c:8036,c:20406,2011-01-20,series-b,15000000
c:200,c:1972,2011-02-01,series-c+,4000000
c:69345,c:2520,2010-06-01,angel,17000
c:69748,c:20953,2010-12-01,angel,1200000
c:69890,c:2520,2012-01-05,angel,0
c:21856,c:82257,2008-01-24,angel,0
c:70153,c:53654,2011-03-01,series-b,12400000
c:53757,c:49174,2011-03-14,series-a,1640000
c:71312,c:71311,2011-10-04,series-b,21600000
c:23852,c:20953,2011-03-18,venture,10000000
c:43872,c:59155,2011-03-25,venture,7712103
c:72270,c:57130,2011-03-29,series-a,3350000
c:924,c:10119,2011-03-31,series-c+,6000000
c:8583,c:317,2011-04-04,series-c+,400000000
c:73174,c:34590,2011-04-07,venture,45000000
c:29184,c:63992,2011-04-06,series-c+,37294997
c:53254,c:1504,2011-08-03,series-c+,36000000
c:43502,c:1640,2011-04-13,venture,19000000
c:74802,c:105504,2011-04-27,angel,1000000
c:477,c:15767,2011-04-27,series-c+,12500000
c:477,c:28,2011-04-27,series-c+,12500000
c:75514,c:176481,2011-05-05,series-b,19500000
c:34,c:1230,2011-05-10,series-c+,20000000
c:6191,c:15142,2011-05-12,venture,6500000
c:59436,c:2520,2011-05-13,angel,1100000
c:42635,c:35739,2011-05-19,series-b,10800000
c:38342,c:27436,2011-05-23,venture,23000000
c:77209,c:23339,2011-08-02,series-a,2100000
c:68157,c:16441,2010-08-01,angel,590000
c:66047,c:20953,2011-06-02,venture,5000000
c:5488,c:5722,2011-06-06,series-c+,21000000
c:45605,c:1972,2011-06-08,series-c+,14000000
c:69286,c:18871,2011-06-09,series-b,10500000
